status,job_site,full_url,location,state,remote,job_type,department,closing_date,agency_department,position,salary_range,qualification,education_requirement,org_boilerplate,role_description,keywords_swe,keywords_general,keywords_domain,contact_name,contact_phone,contact_email,first_scraped_date,last_scraped_date,last_modified_date
,governmentjobs.com,https://www.governmentjobs.com/jobs/5275948-0/senior-risk-analyst-underfill-opportunity-for-risk-analyst,"Moreno Valley, CA",CA,,,,,City of Moreno Valley,Senior Risk Analyst (Underfill Opportunity for Risk Analyst),"Exempt- Confidential  | $98,529.60 - $138,736.00 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5257657-0/data-analyst-technology-solutions-analyst-iv-vacancies,Varies by position,,,,,,City of Columbus,Data Analyst (Technology Solutions Analyst IV) (Vacancies),Full-time  | $48.25 - $72.41 Hourly  | Closes in 3 days,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/137415-1/project-controls-analyst-principal-project-controls-analyst,"Orange, CA",CA,,,,,Orange County Transportation Authority,"Project Controls Analyst, Principal/Project Controls Analyst","Full-Time  | $93,204.80 - $142,708.80 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5278970-0/management-analyst,"Camarillo, CA",CA,,,,,City of Camarillo,Management Analyst,"Full-Time  | $94,532.04 - $141,798.12 Annually  | Closes in 3 weeks",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/60587-1/cloud-engineer,"Los Angeles, CA ; San Francisco, CA",CA,,,,,State Bar of California,Cloud Engineer,"Full-Time  | $86,828.00 - $115,770.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/93829-1/cloud-engineer-platform-engineering,"Orange, CA",CA,,,,,CalOptima,Cloud Engineer (Platform Engineering),"Full-Time  | $105,000.00 - $173,734.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5020295-0/data-center-systems-cloud-engineer,"Irvine, CA",CA,,,,,City of Irvine,Data Center Systems & Cloud Engineer,"Full-Time  | $93,121.60 - $146,494.40 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5284246-0/deputy-fire-chief-st-cloud,Saint Cloud,,,,,,Minnesota City Jobs,Deputy Fire Chief - St. Cloud,"FT  | $118,508.00 - $164,302.00 Annually  | Closes in 3 weeks",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5252706-0/division-chief-of-training-st-cloud,Saint Cloud,,,,,,Minnesota City Jobs,Division Chief of Training - St. Cloud,"FT  | $110,170.00 - $131,672.00 Annually  | Closes in 3 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5287018-0/laboratory-technician-st-cloud,Saint Cloud,,,,,,Minnesota City Jobs,Laboratory Technician - St. Cloud,"FT  | $63,680.00 - $85,612.00 Annually  | Closes in 6 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5259150-0/enterprise-public-cloud-computing-and-storage-manager-enterprise-supervising-tec,San Jose Metropolitan Area,,,,,,City of San Jose,Enterprise Public Cloud Computing and Storage Manager (Enterprise Supervising Technology Analyst),"Full-Time  | $148,118.88 - $180,463.92 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5261840-0/information-technology-architect-cloud-architect,"Los Angeles, CA",CA,,,,,Los Angeles County Metropolitan Transportation Authority (CA),INFORMATION TECHNOLOGY ARCHITECT (CLOUD ARCHITECT),"Regular Employee  | $127,046.40 - $190,528.00 Annually  | Closes in 3 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5269526-0/paralegal-i-victims-assistance-coordinator-st-cloud,Saint Cloud,,,,,,Minnesota City Jobs,Paralegal I/Victims Assistance Coordinator - St. Cloud,"FT  | $59,793.00 - $80,386.00 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4980052-0/it-analyst-principal-data-center-and-cloud-architect,"Fairfield, CA",CA,,,,,Solano County,IT Analyst Principal (Data Center and Cloud Architect),"Full-Time  | $128,534.04 - $156,233.93 Annually  | Closes in 3 hours",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5220387-0/oracle-planning-and-budgeting-cloud-services-pbcs-technical-lead-esta,San Jose,,,,,,City of San Jose,Oracle Planning and Budgeting Cloud Services (PBCS) Technical Lead (ESTA),"Full-Time  | $148,118.88 - $180,463.92 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/83054-1/enterprise-network-infrastructure-engineer,"San Jose, CA",CA,,,,,City of San Jose,Enterprise Network Infrastructure Engineer,"Full-Time  | $110,292.00 - $142,374.96 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5048157-0/information-technology-it-infrastructure-engineer-i-ii-senior,"Turlock, CA",CA,,,,,Turlock Irrigation District,"Information Technology (IT) Infrastructure Engineer I,II, Senior","Full Time  | $7,628.00 - $14,385.00 Monthly",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5247721-0/information-technology-analyst-infrastructure,"Torrance, CA",CA,,,,,City of Torrance,INFORMATION TECHNOLOGY ANALYST - INFRASTRUCTURE,"Permanent Full-time  | $8,470.80 - $10,816.00 Monthly",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/76813-1/infrastructure-and-operations-support-manager-emergency-operation-center,"San Jose, CA",CA,,,,,City of San Jose,"Infrastructure and Operations Support Manager, Emergency Operation Center",,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/2371510-0/information-technology-infrastructure-analyst-level-i-ii-revised,"Sacramento, CA",CA,,,,,County of Sacramento,Information Technology Infrastructure Analyst Level I/II *Revised,"Permanent Full-Time  | $85,691.52 - $121,396.32 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5275241-0/intern-ill-innovation-technology-infrastructure,"Cupertino, CA",CA,,,,,City of Cupertino,Intern Ill - Innovation Technology Infrastructure,Part Time Casual  | $23.70 - $27.70 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5274030-0/communications-systems-specialist-i-ii-network-infrastructure,"2721 Napa Valley Corporate Drive, CA",CA,,,,,County of Napa,Communications Systems Specialist I/II - Network & Infrastructure,"Full Time  | $93,974.40 - $128,148.80 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5261943-0/advanced-meter-infrastructure-ami-technician-rochester,Rochester,,,,,,Minnesota City Jobs,Advanced Meter Infrastructure (AMI) Technician - Rochester,FT  | $44.00 - $55.00 Hourly  | Closes in 3 days,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4318298-0/senior-deputy-county-counsel-infrastructure-law,"Los Angeles County, CA",CA,,,,,County of Los Angeles,SENIOR DEPUTY COUNTY COUNSEL - INFRASTRUCTURE LAW,"Full time  | $153,921.84 - $231,213.84 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,linkedin.com,https://www.linkedin.com/jobs/view/platform-systems-engineer-architect-at-leidos-4389414526,,,,,,,Leidos,Platform Systems Engineer - Architect,,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
