status,job_site,full_url,location,state,remote,job_type,department,closing_date,agency_department,position,salary_range,qualification,education_requirement,org_boilerplate,role_description,keywords_swe,keywords_general,keywords_domain,contact_name,contact_phone,contact_email,first_scraped_date,last_scraped_date,last_modified_date
,governmentjobs.com,https://www.governmentjobs.com/jobs/2432130-0/military-site-advisor,"Coast Community College District, CA",CA,,,,,Coast Community College District,Military Site Advisor,Short Term  | $23.00 - $36.00 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5273797-0/it-systems-administrator,"Mammoth Lakes / Bridgeport, CA",CA,,,,,County of Mono,IT Systems Administrator,"Full-Time  | $98,217.60 - $119,392.00 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5251281-0/county-security-systems-administrator,"Ventura and will require travel throughout Ventura County, CA",CA,,,,,Ventura County,County Security Systems Administrator,"Full-Time Regular  | $94,865.35 - $125,989.02 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4174333-0/public-safety-communications-systems-administrator,605 Fremont Street  Burgaw,,,,,,Pender County Government,Public Safety Communications Systems Administrator,"Full-Time Permanent  | $79,630.31 - $85,602.58 Annually  | Closes in 3 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/140181-1/district-network-systems-administrator,"Mission Viejo, CA",CA,,,,,South Orange County Community College District,District Network Systems Administrator,"| $8,965.00 - $12,678.00 Annually  | Closes in 5 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5246868-0/system-and-network-administrator-temporary,"Santa Barbara, CA",CA,,,,,County of Santa Barbara,System and Network Administrator (Temporary),,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5266416-0/senior-systems-administrator-vacancy-extended,Varies by position,,,,,,City of Columbus,Senior Systems Administrator (Vacancy) (Extended),Full-time  | $41.45 - $62.16 Hourly  | Closes in 1 month,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5199421-0/systems-engineer-administrator,"Pasadena City Hall, CA",CA,,,,,City of Pasadena,Systems Engineer/Administrator,"Full -Time  | $112,377.00 - $140,471.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5254756-0/information-technology-systems-administrator-police-department,"Town of Los Gatos, CA",CA,,,,,Town of Los Gatos,Information Technology Systems Administrator (Police Department),"Full-Time  | $130,413.09 - $167,644.05 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5257676-0/airport-systems-cloud-infrastructure-administrator,3001  - Port Control,,,,,,City of Cleveland,Airport Systems & Cloud Infrastructure Administrator,"Full-time  | $70,000.00 - $105,000.00 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5257451-0/pension-administration-system-assistant-manager,"San Bernardino, CA",CA,,,,,San Bernardino County Employees' Retirement Association,Pension Administration System Assistant Manager,"Full-Time  | $113,588.80 - $168,667.20 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4823347-0/information-systems-specialist-ii-housing-systems-specialist,"Los Angeles, CA",CA,,,,,Housing Authority of the City of Los Angeles,Information Systems Specialist II – Housing Systems Specialist,"At-Will  | $130,104.00 - $160,846.40 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4477218-0/certified-peer-support-specialist-mental-health-worker-iii,Orange County,,,,,,County of Orange,Certified Peer Support Specialist (Mental Health Worker III),"Full-Time Regular  | $55,827.20 - $74,588.80 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5265392-0/it-specialist-shakopee,Shakopee,,,,,,Minnesota City Jobs,IT Specialist - Shakopee,"FT  | $77,417.60 - $98,737.60 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5092086-0/it-specialist-applications-programmer-1429-j-revised-09-24-25,"CITY OF LOS ANGELES, CA",CA,,,,,City of Los Angeles,IT SPECIALIST (APPLICATIONS PROGRAMMER) 1429 (J) (REVISED 09-24-25)),"FULL-TIME  | $73,476.00 - $117,095.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5256029-0/building-inspector-specialist-electrical-specialist,"County of Santa Barbara - All locations, CA",CA,,,,,County of Santa Barbara,Building Inspector Specialist (Electrical Specialist),"Full-time  | $109,867.68 - $132,236.00 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/138810-1/senior-marketing-specialist-marketing-specialist,"Orange, CA",CA,,,,,Orange County Transportation Authority,Senior Marketing Specialist/Marketing Specialist,Full-Time  | $36.86 - $51.20 Hourly  | Closes in 4 weeks,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/132847-1/customer-relations-specialist-customer-relations-specialist-associate,"Orange, CA",CA,,,,,Orange County Transportation Authority,"Customer Relations Specialist / Customer Relations Specialist, Associate",,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4926681-0/communication-specialist-iv-cameras-communication-specialist-v-network,"City of Long Beach, CA",CA,,,,,City of Long Beach,Communication Specialist IV (Cameras)/Communication Specialist V (Network),"Classified - Full-Time, Permanent  | $30.20 - $69.90 Hourly  | Closes in 10 hours",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5134273-0/information-security-administrator,"Chino CA  91708, CA",CA,,,,,Inland Empire Utilities Agency,Information Security Administrator,"Full-Time Regular  | $128,940.03 - $157,099.07 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
